slurm-9892587.out:DATATIME(ms), 1, 1, 187933.579000
slurm-9892588.out:DATATIME(ms), 1, 2, 35424.788000
slurm-9892589.out:DATATIME(ms), 1, 4, 2961.648000
slurm-9892590.out:DATATIME(ms), 1, 8, 2398.409000
slurm-9892591.out:DATATIME(ms), 1, 16, 2342.949000
slurm-9892606.out:DATATIME(ms), 1, 1, 6403.202000
slurm-9892607.out:DATATIME(ms), 1, 2, 4332.209000
slurm-9892608.out:DATATIME(ms), 1, 4, 12419.681000
slurm-9892609.out:DATATIME(ms), 1, 8, 2351.705000
slurm-9892610.out:DATATIME(ms), 1, 16, 2308.697000
slurm-9892611.out:DATATIME(ms), 1, 1, 6416.312000
slurm-9892612.out:DATATIME(ms), 1, 2, 4328.570000
slurm-9892613.out:DATATIME(ms), 1, 4, 3079.494000
slurm-9892614.out:DATATIME(ms), 1, 8, 13518.352000
slurm-9892615.out:DATATIME(ms), 1, 16, 2223.043000
slurm-9892616.out:DATATIME(ms), 1, 1, 6398.530000
slurm-9892617.out:DATATIME(ms), 1, 1, 6649.877000
slurm-9892618.out:DATATIME(ms), 1, 1, 6679.327000
slurm-9892619.out:DATATIME(ms), 1, 2, 4423.482000
slurm-9892620.out:DATATIME(ms), 1, 2, 4440.321000
slurm-9892621.out:DATATIME(ms), 1, 2, 4425.550000
slurm-9892622.out:DATATIME(ms), 1, 4, 12549.978000
slurm-9892623.out:DATATIME(ms), 1, 4, 12564.612000
slurm-9892624.out:DATATIME(ms), 1, 4, 3137.720000
slurm-9892625.out:DATATIME(ms), 1, 8, 2393.373000
slurm-9892626.out:DATATIME(ms), 1, 8, 2467.912000
slurm-9892627.out:DATATIME(ms), 1, 8, 2397.058000
slurm-9892628.out:DATATIME(ms), 1, 16, 2188.389000
slurm-9892629.out:DATATIME(ms), 1, 16, 2239.766000
slurm-9892630.out:DATATIME(ms), 1, 16, 2204.296000
slurm-9892631.out:DATATIME(ms), 1, 1, 6694.913000
slurm-9892632.out:DATATIME(ms), 1, 2, 4904.268000
slurm-9892633.out:DATATIME(ms), 1, 4, 3140.258000
slurm-9892634.out:DATATIME(ms), 1, 8, 2357.815000
slurm-9892635.out:DATATIME(ms), 1, 16, 2218.103000
slurm-9892636.out:DATATIME(ms), 1, 1, 6736.043000
slurm-9892637.out:DATATIME(ms), 1, 2, 4455.985000
slurm-9892638.out:DATATIME(ms), 1, 4, 3115.321000
slurm-9892639.out:DATATIME(ms), 1, 8, 2377.773000
slurm-9892640.out:DATATIME(ms), 1, 16, 2285.538000
slurm-9892641.out:DATATIME(ms), 1, 1, 6681.208000
slurm-9892642.out:DATATIME(ms), 1, 2, 4403.497000
slurm-9892643.out:DATATIME(ms), 1, 4, 3151.878000
slurm-9892644.out:DATATIME(ms), 1, 8, 2271.457000
slurm-9892645.out:DATATIME(ms), 1, 16, 2257.368000
slurm-9892646.out:DATATIME(ms), 1, 1, 6661.110000
slurm-9892647.out:DATATIME(ms), 1, 2, 4438.418000
slurm-9892648.out:DATATIME(ms), 1, 4, 3034.300000
slurm-9892649.out:DATATIME(ms), 1, 8, 2366.387000
slurm-9892650.out:DATATIME(ms), 1, 16, 2261.229000
slurm-9892651.out:DATATIME(ms), 1, 1, 5808.043000
slurm-9892652.out:DATATIME(ms), 1, 2, 4467.415000
slurm-9892653.out:DATATIME(ms), 1, 4, 3158.163000
slurm-9892654.out:DATATIME(ms), 1, 8, 2367.979000
slurm-9892655.out:DATATIME(ms), 1, 16, 2266.420000
